Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2021-01-02T05:30:44Z,32.3182,-86.9023,365747,4872,202137,158738,1,7459.375895463867,NA,NA,1.3320683423240656,84000001,USA,NA,NA,2021-01-01,NA,NA
Alaska,US,2021-01-02T05:30:44Z,61.3707,-152.4044,47019,206,7165,39648,2,6427.355801762024,1275750,NA,0.4381207596928901,84000002,USA,174391.1857780451,NA,2021-01-01,NA,NA
American Samoa,US,2021-01-02T05:30:44Z,-14.271,-170.132,0,0,NA,NA,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA,2021-01-01,NA,NA
Arizona,US,2021-01-02T05:30:44Z,33.7298,-111.4312,530267,9015,76934,444318,4,7285.171274003372,5155330,NA,1.7000869373353424,84000004,USA,39551.860582022906,NA,2021-01-01,NA,NA
Arkansas,US,2021-01-02T05:30:44Z,34.9697,-92.3731,229442,3711,199247,26484,5,7602.945718144717,2051488,NA,1.6174022192972517,84000005,USA,67979.49767446793,NA,2021-01-01,NA,NA
California,US,2021-01-02T05:30:44Z,36.1162,-119.6816,2434946,26258,NA,NA,6,6164.469662969861,33058311,NA,1.0743439616803088,84000006,USA,83666.03670970372,NA,2021-01-01,NA,NA
Colorado,US,2021-01-02T05:30:44Z,39.0598,-105.3111,362438,5435,18102,314186,8,5854.774381044729,4444206,NA,1.4453035790023163,84000008,USA,77173.28941628858,NA,2021-01-01,NA,NA
Connecticut,US,2021-01-02T05:30:44Z,41.5978,-72.7554,185708,5995,9800,169913,9,5208.781228551867,4320693,NA,3.2281861847631768,84000009,USA,121187.80339422885,NA,2021-01-01,NA,NA
Delaware,US,2021-01-02T05:30:44Z,39.3185,-75.5071,58064,1065,18851,38148,10,5962.841099075341,1021582,NA,1.8341829705152928,84000010,USA,1.0491063543117223e-5,NA,2021-01-01,NA,NA
Diamond Princess,US,2021-01-02T05:30:44Z,NA,NA,49,0,NA,NA,88888,NA,NA,NA,0,84088888,USA,NA,NA,2021-01-01,NA,NA
