rid,resp_employ,num_cc_nonhh,num_cc_work,num_cc,age,agecat,num_cc,weight_pooled
5fc58436-ab4a-4ad7-5d41-7af691571fed,Yes,2,0,4,52,"[45,55)",4,1.048798301
5fc58477-1db5-8c67-775e-60f67372392e,Yes,0,0,4,59,"[55,65)",4,1.130394624
5fc583b5-7490-6556-e422-1bda5b2da30e,No,3,NA,4,60,"[55,65)",4,1.595377032
5fc58454-55f6-d303-defb-1aa545e3b8f6,Yes,4,3,7,22,"[18,25)",7,1.618087804
5fc58497-a2c6-0037-22b0-453810834eb4,Yes,6,0,7,33,"[25,35)",7,0.385895269
5fc584b9-630c-c871-fd33-78d31b80b73e,No,2,NA,2,70,"[65,100]",2,0.96418071
5fc58480-ba76-ef8b-5998-b2ac89f58d6d,No,0,NA,3,43,"[35,45)",3,1.494938996
5fc584ce-5828-fe2f-928f-0fee7af7a467,No,0,NA,1,41,"[35,45)",1,0.507592939
5fc5846d-1900-3b69-bc9c-5a86add85775,Yes,1,0,2,48,"[45,55)",2,0.469054087
5fc58518-c844-47f4-75a4-371cd5169edd,No,1,NA,2,20,"[18,25)",2,0.291805075
5fc5838a-7e36-b3cd-24de-cef8ee63e9b3,No,2,NA,7,36,"[35,45)",7,0.770300586
5fc5854f-62d3-cfc3-34c4-c851675ab30c,Yes,0,0,1,68,"[65,100]",1,0.954697596
5fc58571-7ae7-117b-5d76-11e2d62ea0f9,Yes,3,1,5,45,"[45,55)",5,0.518267406
5fc585b6-26e9-28f2-be4a-7432d0c32a39,No,0,NA,2,33,"[25,35)",2,2.057560391
5fc5829c-b65b-85cd-0863-742e12ef570a,Yes,0,0,3,42,"[35,45)",3,0.460043776
5fc58503-12ff-0de7-db45-da5913f1a8fd,No,1,NA,1,70,"[65,100]",1,0.855143961
5fc58343-208c-cfc5-3663-03e9bc9dd7ac,Yes,6,3,8,44,"[35,45)",8,0.518267406
5fc58571-eebd-72bd-a88b-94cd4ec657c9,Yes,0,0,0,38,"[35,45)",0,0.299506472
5fc58444-434c-69be-767e-6732885d951d,Yes,99,95,100,20,"[18,25)",100,0.196501101
5fc584f7-6d2c-5593-d31c-9301ad965cc6,Yes,3,1,6,34,"[25,35)",6,0.246276081
5fc58512-d11b-92ea-dcb3-aa280d558190,Yes,0,0,0,62,"[55,65)",0,0.378848948
5fc584d9-5cd3-b38e-a9c3-4ae59945250b,Yes,1,0,1,63,"[55,65)",1,0.740973347
5fc58489-6e16-67a9-0201-83297ad8242b,Yes,23,6,24,23,"[18,25)",24,1.2387339
5fc585a1-cbd9-5e47-0594-2e8a30fe8ab2,No,2,NA,3,68,"[65,100]",3,0.677740954
5fc5859c-c659-6771-bb32-077c949ea2cf,Yes,0,0,1,38,"[35,45)",1,0.385895269
5fc585a5-d2d0-84f7-e101-5a7ddd0818de,No,2,NA,2,60,"[55,65)",2,0.593088759
5fc582f9-4381-e942-b657-92fec6cf1bdc,Yes,2,0,3,54,"[45,55)",3,0.681485368
5fc58479-bab4-d66c-b9da-cc4297c23673,Yes,2,1,4,45,"[45,55)",4,0.349000496
5fc585fd-2b6c-4215-b041-c684d51da709,No,0,NA,0,69,"[65,100]",0,2.411370842
5fc5853e-416c-4032-8113-64f2ba2f4afd,Yes,10,20,10,38,"[35,45)",10,1.564051411
5fc585ec-aaa5-bae4-4899-f23dd96fa6b3,Yes,0,0,3,39,"[35,45)",3,0.365721159
5fc584e3-ff27-73b9-ca66-2f5889a1a3b9,Yes,1,1,4,51,"[45,55)",4,0.475993188
5fc581e9-ff20-ca60-fdfe-b5e3c128b461,Yes,6,0,6,77,"[65,100]",6,3.390590944
5fc58532-2c46-f948-a5d7-1ae1bdd14eda,No,0,NA,1,64,"[55,65)",1,0.764157596
5fc58467-6dfa-5d90-c421-d21efaca796e,Yes,4,4,8,35,"[35,45)",8,0.584859543
5fc58639-eb46-284f-03a3-521977a54672,Yes,1,0,4,64,"[55,65)",4,0.912168708
5fc58606-671a-aaae-b114-f45c9f9e32e3,No,0,NA,1,77,"[65,100]",1,1.242286257
5fc5855a-8d05-e944-9a08-45d464b5137d,Yes,50,2,52,30,"[25,35)",52,0.412007218
5fc58569-b23a-5c68-888d-8f99b027f092,Yes,0,0,1,62,"[55,65)",1,0.724865085
5fc586a7-8a9d-b2dc-d712-13bb23d53c81,Yes,2,0,2,62,"[55,65)",2,0.378848948
5fc5863e-440d-dbae-8af9-375b3beb0a1d,No,1,NA,2,50,"[45,55)",2,0.604417918
5fc5855d-8f10-d222-ee39-8e0602a095c7,Yes,99,99,102,18,"[18,25)",102,0.706130124
5fc58497-68cb-394c-2051-ba613da6d79f,No,0,NA,2,30,"[25,35)",2,0.585107455
5fc582d2-bd55-52b4-863c-9f7306604326,No,2,NA,5,56,"[55,65)",5,0.617646696
5fc587a1-de18-672e-ce75-9112bf663617,Yes,0,0,1,40,"[35,45)",1,0.341812326
5fc58618-4920-5483-aeef-4295a7aa9aa0,Yes,2,0,2,64,"[55,65)",2,0.894480362
5fc5861a-7157-3d9f-07aa-613d02d0a277,Yes,1,2,4,40,"[35,45)",4,0.30979279
5fc58817-5324-3adf-fd85-14f262fc0dbd,Yes,0,0,1,25,"[25,35)",1,1.344642075
5fc58714-5893-b8a4-4684-a51f1c9e38f6,Yes,5,5,10,36,"[35,45)",10,0.559312512
5fc5857e-1acd-0a9c-e6a4-182847b109af,No,0,NA,1,75,"[65,100]",1,1.101799257
5fc58725-0556-af61-8b89-97a6223305c3,Yes,4,6,7,31,"[25,35)",7,1.567545492
5fc58694-d49f-ff7b-2e99-90a1ee22da31,Yes,4,4,7,45,"[45,55)",7,0.460043776
5fc586eb-6754-6757-79f5-9782c5a12527,No,0,NA,1,67,"[65,100]",1,0.764157596
5fc587d9-22cd-a529-f0c5-622c842aebc9,Yes,1,0,5,44,"[35,45)",5,2.114079798
5fc58792-d398-72fe-7b51-de695734a55d,No,0,NA,5,76,"[65,100]",5,0.539891297
5fc58711-6901-f99f-5ce2-80b8b9f4065a,Yes,1,4,4,34,"[25,35)",4,0.34974623
5fc58501-47e7-19a3-b5de-1b37c2e26eee,No,0,NA,1,51,"[45,55)",1,2.742596784
5fc58703-4a95-4bda-c807-299cbf51f1b3,No,2,NA,3,52,"[45,55)",3,2.742596784
5fc587ba-1312-290b-d6b5-ad52057c671c,No,0,NA,3,58,"[55,65)",3,0.547798599
5fc5891d-23b8-21f3-f0b2-9964ab111c82,No,0,NA,1,71,"[65,100]",1,1.101799257
5fc58724-36cc-87d1-7065-1f755b0943e0,Yes,1,0,1,50,"[45,55)",1,0.356176646
5fc588df-bde7-8692-789c-94f1cef19d31,Yes,4,7,8,30,"[25,35)",8,1.961042977
5fc58a00-ff77-2cad-4998-5da94157d83a,Yes,1,1,1,27,"[25,35)",1,0.195167203
